State,City,Locality,Property_Type,BHK,Size_in_SqFt,Furnished_Status,Floor_No,Total_Floors,Security,Amenities,Facing,Owner_Type,Availability_Status,Year_Built,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Price_in_Lakhs
Maharashtra,Bangalore,Locality_11,Villa,3,2068.0,Fully Furnished,32.0,40,Yes,Basic,South,Agent,Ready to Move,2007,3,0,4,2,434.95457883433676
Haryana,Mumbai,Locality_33,Builder Floor,1,3847.0,Semi-Furnished,7.0,9,Yes,,North-East,Agent,Under Construction,2021,3,0,9,2,1155.4810068006889
Telangana,New Delhi,Locality_24,Villa,4,2236.0,Fully Furnished,28.0,29,Yes,Luxury,East,Owner,Under Construction,1996,7,2,8,0,789.8019470513157
Karnataka,Pune,Locality_23,Builder Floor,2,4539.0,Fully Furnished,18.0,19,No,Luxury,South,Owner,Ready to Move,2012,8,1,8,0,1156.16403833703
Karnataka,Gurgaon,Locality_15,Independent House,3,4451.0,Fully Furnished,5.0,33,Yes,Premium,West,Agent,Ready to Move,2012,3,2,3,2,1057.6494196073597
Maharashtra,Pune,Locality_27,Independent House,2,,Semi-Furnished,23.0,49,No,Luxury,North-East,Owner,Ready to Move,2007,5,2,5,1,265.3618526937819
Karnataka,New Delhi,Locality_11,Apartment,5,1856.0,Fully Furnished,22.0,28,Yes,Premium,North-East,Builder,Under Construction,1996,3,3,4,2,562.1587152705516
Tamil Nadu,Pune,Locality_50,Builder Floor,1,1514.0,Unfurnished,26.0,40,Yes,Premium,East,Builder,Ready to Move,2013,3,2,8,3,259.7820460547604
Karnataka,Hyderabad,Locality_17,Apartment,4,2632.0,Fully Furnished,12.0,27,Yes,Luxury,West,Owner,Ready to Move,2003,8,1,7,2,642.1088873051285
Haryana,Pune,Locality_14,Builder Floor,5,3168.0,Unfurnished,,19,No,Luxury,West,Agent,Under Construction,1994,3,0,7,2,913.765827712326
Haryana,New Delhi,Locality_27,Villa,5,1554.0,Semi-Furnished,1.0,48,Yes,Basic,East,Agent,Under Construction,2011,5,4,7,2,406.6598409455778
Haryana,Chennai,Locality_18,Villa,5,,Semi-Furnished,3.0,7,Yes,Basic,North,Builder,Under Construction,2011,8,2,1,2,419.7468432939036
Haryana,Hyderabad,Locality_28,Apartment,1,4958.0,Fully Furnished,27.0,36,No,Premium,West,Owner,Ready to Move,1999,2,2,7,2,691.9852469041552
Tamil Nadu,Pune,Locality_47,Builder Floor,3,3369.0,Fully Furnished,18.0,24,No,Premium,North,Agent,Ready to Move,2015,6,3,4,2,692.6935162098847
Delhi,Bangalore,Locality_47,Apartment,1,1912.0,Fully Furnished,30.0,44,No,Luxury,North,Agent,Ready to Move,2004,6,3,3,1,371.04047788521956
Telangana,Bangalore,Locality_4,Independent House,3,1167.0,Unfurnished,2.0,42,No,Luxury,North-East,Owner,Ready to Move,1990,0,2,5,2,366.53106129558427
Maharashtra,Pune,Locality_7,Apartment,5,3870.0,Semi-Furnished,5.0,26,Yes,Basic,North-East,Owner,Under Construction,2003,1,2,2,0,638.0979459558172
Haryana,Chennai,Locality_45,Apartment,5,1894.0,Unfurnished,29.0,37,Yes,Luxury,South,Agent,Ready to Move,2020,4,1,8,2,450.6632296532503
Karnataka,Gurgaon,Locality_35,Villa,4,598.0,Unfurnished,33.0,38,,Premium,North-East,Owner,Under Construction,2017,7,0,9,1,168.99714989833433
Haryana,New Delhi,Locality_48,Apartment,3,4570.0,Fully Furnished,20.0,25,Yes,Luxury,West,Owner,Ready to Move,2023,5,0,5,3,1503.968639356672
Karnataka,Bangalore,Locality_9,Builder Floor,5,921.0,Fully Furnished,30.0,38,No,Basic,West,Owner,Ready to Move,2024,6,4,3,0,178.60469580684574
Telangana,Gurgaon,Locality_8,Villa,2,4150.0,Unfurnished,5.0,19,No,Premium,North,Agent,Ready to Move,2012,2,0,7,2,797.9391052848512
Telangana,Pune,Locality_45,Apartment,4,4657.0,Unfurnished,21.0,26,No,Basic,West,Builder,Under Construction,2008,5,4,1,2,925.6179198097584
Telangana,Gurgaon,Locality_17,Independent House,1,1632.0,Fully Furnished,15.0,28,Yes,Basic,North-East,Owner,Ready to Move,2007,8,3,3,0,224.8785673994343
Karnataka,Hyderabad,Locality_17,Apartment,4,,Fully Furnished,20.0,25,No,Premium,North-East,Agent,Under Construction,2004,2,4,9,2,326.24931360494236
Haryana,Mumbai,Locality_49,Apartment,2,4120.0,Unfurnished,8.0,14,Yes,Basic,North-East,Builder,Under Construction,1990,5,4,2,1,951.4792912970674
Telangana,Bangalore,Locality_33,Apartment,3,3690.0,Fully Furnished,31.0,46,Yes,Luxury,East,Agent,Under Construction,2014,6,0,9,2,1053.4972414440465
Tamil Nadu,Pune,Locality_32,Villa,1,1097.0,Fully Furnished,12.0,46,Yes,Luxury,West,Agent,Under Construction,2015,4,2,1,3,237.85047137476207
Karnataka,New Delhi,Locality_8,Builder Floor,1,891.0,Unfurnished,21.0,35,No,Basic,South,Agent,Ready to Move,2024,9,3,4,1,171.34555637504172
Karnataka,Chennai,Locality_19,Independent House,3,1575.0,Unfurnished,30.0,33,Yes,,West,Builder,Ready to Move,2004,7,1,6,2,386.92652216309403
Haryana,Hyderabad,Locality_38,Apartment,4,3150.0,Semi-Furnished,27.0,27,No,Basic,West,Agent,Under Construction,1993,7,4,7,3,567.005950882857
Karnataka,Pune,Locality_3,Builder Floor,5,2884.0,Unfurnished,26.0,29,Yes,Luxury,East,Builder,Under Construction,2004,5,4,3,0,864.3424585538603
Karnataka,New Delhi,Locality_5,Builder Floor,4,1309.0,Fully Furnished,33.0,40,Yes,Basic,West,Owner,Ready to Move,1990,6,4,9,1,261.8175864481699
Telangana,Chennai,Locality_13,Villa,2,3809.0,Unfurnished,26.0,33,Yes,Luxury,North,Builder,Ready to Move,2011,2,2,4,2,743.1697898967508
Haryana,Chennai,Locality_47,Independent House,5,4238.0,Unfurnished,26.0,35,No,Premium,North-East,Agent,Under Construction,2000,6,1,5,2,886.690663840053
Telangana,Pune,Locality_46,Villa,4,1659.0,Unfurnished,,42,No,Premium,North-East,Builder,Ready to Move,2015,6,0,8,0,339.7207549489227
Telangana,Hyderabad,Locality_31,Builder Floor,3,2031.0,Semi-Furnished,1.0,40,No,Luxury,East,Agent,Ready to Move,2016,3,3,3,0,376.2090487373553
Haryana,Gurgaon,Locality_16,Builder Floor,2,3182.0,Semi-Furnished,15.0,43,No,Basic,North-East,Owner,Ready to Move,2002,9,2,8,1,593.2128084080914
Maharashtra,Gurgaon,Locality_50,Builder Floor,2,753.0,Fully Furnished,1.0,30,Yes,Luxury,North,Builder,Under Construction,1996,3,1,1,1,234.74405588656862
Telangana,Chennai,Locality_32,Villa,2,4048.0,Semi-Furnished,11.0,12,Yes,Basic,East,Owner,Under Construction,1997,2,3,8,1,516.9203276042317
Tamil Nadu,Gurgaon,Locality_22,Independent House,5,3685.0,Unfurnished,2.0,28,No,Luxury,South,Builder,Under Construction,2012,9,0,8,2,1327.7273568360022
Tamil Nadu,Mumbai,Locality_29,Apartment,1,1731.0,Semi-Furnished,1.0,12,No,Luxury,North-East,Agent,Under Construction,2015,6,3,6,2,537.9480512458678
Karnataka,Chennai,Locality_22,Villa,5,2923.0,Unfurnished,31.0,32,No,Premium,West,Builder,Under Construction,2016,4,4,5,1,550.2892894508394
Tamil Nadu,Chennai,Locality_43,Builder Floor,4,4075.0,Semi-Furnished,16.0,34,No,Basic,North,Owner,Ready to Move,1998,2,4,9,2,643.9343784180984
Karnataka,New Delhi,Locality_3,Villa,1,4761.0,Semi-Furnished,22.0,26,Yes,Basic,North,Builder,Ready to Move,2002,5,2,6,0,740.8064923348305
Maharashtra,Gurgaon,Locality_10,Builder Floor,4,2073.0,Semi-Furnished,18.0,20,No,Basic,North-East,Owner,Ready to Move,1996,5,3,1,3,443.35874917111033
Haryana,Hyderabad,Locality_42,Apartment,1,3408.0,Unfurnished,17.0,48,No,Basic,South,Owner,Under Construction,2000,5,4,6,2,461.65910422853483
Haryana,Chennai,Locality_21,Apartment,5,2125.0,Semi-Furnished,30.0,39,,Basic,West,Agent,Ready to Move,1999,1,2,1,1,386.94242468517507
Haryana,Hyderabad,Locality_16,Independent House,2,4498.0,Unfurnished,10.0,41,No,Premium,South,Builder,Under Construction,2022,9,2,6,2,672.0012012404408
Tamil Nadu,Mumbai,Locality_12,Builder Floor,3,4383.0,Unfurnished,35.0,42,Yes,Luxury,South,Owner,Under Construction,1992,6,2,3,0,1299.7206379850797
Maharashtra,New Delhi,Locality_2,Independent House,2,4015.0,Fully Furnished,21.0,29,No,Basic,North-East,Agent,Under Construction,2018,6,0,6,1,863.3678898151727
Tamil Nadu,Pune,Locality_41,Independent House,5,3903.0,Semi-Furnished,16.0,32,Yes,Basic,West,Agent,Under Construction,2005,9,4,6,3,636.512224773393
Tamil Nadu,Hyderabad,Locality_24,Apartment,1,2458.0,Fully Furnished,6.0,10,No,Luxury,North-East,Agent,Under Construction,2005,3,4,1,1,366.3673026940073
Maharashtra,Chennai,Locality_35,Villa,2,4509.0,Fully Furnished,3.0,40,No,Premium,North-East,Owner,Under Construction,1996,5,1,9,1,698.5677636504203
Maharashtra,Mumbai,Locality_30,Villa,5,3235.0,Unfurnished,21.0,30,No,Premium,North,Builder,Ready to Move,2004,3,0,8,1,1148.5394563355674
Maharashtra,Bangalore,Locality_30,Independent House,4,4991.0,Semi-Furnished,13.0,17,No,Premium,North-East,Owner,Under Construction,1995,3,4,2,2,1318.7372598848547
Maharashtra,Mumbai,Locality_47,Apartment,3,3674.0,Unfurnished,18.0,28,No,Luxury,East,Agent,Ready to Move,2007,5,4,2,3,1538.3081417522908
Haryana,Mumbai,Locality_35,Builder Floor,2,901.0,Unfurnished,24.0,32,Yes,Luxury,West,Owner,Under Construction,2008,8,1,5,0,255.65625950112388
Delhi,New Delhi,Locality_19,Villa,1,1474.0,Semi-Furnished,27.0,36,No,Premium,North,Owner,Ready to Move,1991,6,3,2,2,285.6314089372192
Delhi,Pune,Locality_50,Independent House,4,723.0,Unfurnished,4.0,32,Yes,Premium,West,Agent,Under Construction,1992,1,3,1,3,152.1403938755105
Maharashtra,Bangalore,Locality_8,Villa,5,735.0,Semi-Furnished,22.0,28,Yes,Luxury,North,Builder,Under Construction,2014,5,0,2,3,260.358539789915
Delhi,Gurgaon,Locality_26,Villa,3,3998.0,Semi-Furnished,24.0,25,Yes,Premium,East,Agent,Ready to Move,2017,4,2,5,2,836.0194691092124
Delhi,Gurgaon,Locality_49,Builder Floor,1,4711.0,Unfurnished,10.0,34,Yes,Basic,North-East,Agent,Under Construction,2017,5,1,7,1,749.3050603969115
Maharashtra,Hyderabad,Locality_40,Apartment,5,3734.0,Unfurnished,2.0,5,No,Luxury,North,Owner,Under Construction,2021,7,1,5,3,890.303841504159
Delhi,Mumbai,Locality_7,Builder Floor,5,725.0,Fully Furnished,6.0,26,No,Premium,North,Agent,Ready to Move,2012,7,4,1,0,260.54513544191826
Tamil Nadu,New Delhi,Locality_30,Apartment,2,2777.0,Unfurnished,18.0,22,No,Basic,North,Owner,Ready to Move,1991,2,4,7,2,477.931678861084
Karnataka,New Delhi,Locality_7,Villa,2,4777.0,Semi-Furnished,17.0,24,No,Luxury,East,Agent,Under Construction,1999,8,1,6,3,1633.7387077381377
Karnataka,Gurgaon,Locality_3,Independent House,1,1841.0,Fully Furnished,38.0,42,Yes,,West,Agent,Ready to Move,1995,5,2,7,0,457.55462402712675
Maharashtra,Hyderabad,Locality_1,Builder Floor,5,4536.0,Semi-Furnished,23.0,29,Yes,Basic,East,Builder,Ready to Move,1997,6,3,2,0,683.1960412755526
Haryana,Hyderabad,Locality_36,Apartment,2,709.0,Fully Furnished,30.0,31,Yes,Luxury,North,Agent,Under Construction,2004,8,0,5,0,128.26894594856023
Maharashtra,Hyderabad,Locality_25,Villa,3,4227.0,Unfurnished,21.0,29,No,Premium,North,Builder,Ready to Move,2018,6,3,8,0,585.592141566273
Haryana,Bangalore,Locality_37,Apartment,3,4428.0,Unfurnished,10.0,33,No,Luxury,North-East,Agent,Under Construction,2017,9,0,7,2,1301.8915710821586
Karnataka,Pune,Locality_1,Apartment,5,3303.0,Unfurnished,13.0,32,No,Premium,East,Agent,Ready to Move,2011,8,2,6,0,792.1979058589201
Maharashtra,Bangalore,Locality_15,Apartment,2,1609.0,Semi-Furnished,12.0,20,No,Basic,East,Agent,Under Construction,2023,0,1,6,2,219.75584646181937
Telangana,Chennai,Locality_37,Villa,1,2526.0,Fully Furnished,9.0,16,,Basic,South,Builder,Under Construction,2009,0,2,1,0,316.1522192588878
Tamil Nadu,Chennai,Locality_13,Independent House,1,893.0,Semi-Furnished,4.0,24,No,Luxury,West,Owner,Under Construction,2022,2,1,1,0,180.34084606235845
Delhi,Pune,Locality_40,Independent House,1,1343.0,Fully Furnished,39.0,43,No,Basic,South,Builder,Ready to Move,2004,8,4,7,2,168.50013232742535
Haryana,Gurgaon,Locality_8,Independent House,3,2024.0,Unfurnished,24.0,38,Yes,Basic,South,Agent,Under Construction,1996,0,0,3,1,384.0617791684356
Telangana,Pune,Locality_5,Apartment,2,1103.0,Semi-Furnished,34.0,36,Yes,Luxury,West,Owner,Ready to Move,2013,0,4,6,3,225.06096366170698
Delhi,New Delhi,Locality_9,Villa,2,1081.0,Unfurnished,39.0,49,No,Premium,North-East,Agent,Under Construction,2015,4,1,5,3,230.69661021115624
Delhi,Chennai,Locality_1,Apartment,3,2439.0,Semi-Furnished,5.0,31,No,,North-East,Builder,Under Construction,1999,7,0,3,2,521.3117621700876
Maharashtra,Mumbai,Locality_36,Independent House,1,632.0,Unfurnished,15.0,21,Yes,Luxury,West,Builder,Under Construction,2004,1,0,6,0,162.63430332385875
Delhi,Mumbai,Locality_35,Independent House,1,3338.0,Semi-Furnished,4.0,25,No,Premium,West,Owner,Ready to Move,2013,3,4,3,2,774.292351214633
Tamil Nadu,Gurgaon,Locality_2,Villa,5,3885.0,Semi-Furnished,39.0,44,,Premium,East,Builder,Under Construction,2000,5,0,8,0,1234.3309856421317
Telangana,New Delhi,Locality_40,Apartment,4,4270.0,Fully Furnished,8.0,35,Yes,Premium,East,Agent,Under Construction,2010,0,1,7,2,930.8013880805177
Delhi,Bangalore,Locality_23,Builder Floor,2,2768.0,Unfurnished,24.0,32,No,Luxury,East,Owner,Ready to Move,2004,3,1,9,3,603.9945853281832
Maharashtra,New Delhi,Locality_9,Builder Floor,2,1475.0,Fully Furnished,28.0,30,Yes,Premium,East,Agent,Under Construction,2004,3,4,5,2,377.5897521749119
Tamil Nadu,Mumbai,Locality_34,Independent House,2,2313.0,Fully Furnished,27.0,30,No,Basic,North,Owner,Under Construction,2003,8,2,1,3,426.0771114310439
Karnataka,Mumbai,Locality_46,Villa,4,3763.0,Unfurnished,1.0,27,No,Premium,North,Owner,Ready to Move,2010,8,1,8,3,1033.8245598032952
Telangana,Chennai,Locality_14,Apartment,5,2043.0,Semi-Furnished,34.0,40,No,Basic,North-East,Agent,Ready to Move,2009,5,1,2,3,331.00557084029293
Delhi,New Delhi,Locality_4,Apartment,4,,Fully Furnished,17.0,32,No,Premium,North,Builder,Ready to Move,2022,7,0,6,2,1055.356767815141
Maharashtra,New Delhi,Locality_30,Independent House,1,3238.0,Unfurnished,37.0,37,Yes,Basic,North,Agent,Under Construction,1992,9,0,1,1,497.7404498520228
Karnataka,Mumbai,Locality_31,Independent House,1,1857.0,Semi-Furnished,,49,No,Basic,East,Builder,Ready to Move,2012,3,1,6,2,429.9109128124285
Karnataka,Bangalore,Locality_38,Apartment,2,4634.0,Fully Furnished,26.0,30,No,Basic,East,Builder,Under Construction,2012,9,4,4,2,846.5615821764432
Haryana,Gurgaon,Locality_11,Apartment,3,1816.0,Fully Furnished,,33,Yes,Basic,West,Agent,Under Construction,2016,7,2,5,1,378.3623344585968
Tamil Nadu,Hyderabad,Locality_35,Independent House,2,661.0,Fully Furnished,39.0,42,No,Basic,East,Owner,Ready to Move,2024,2,0,7,1,95.05381292336536
Delhi,Gurgaon,Locality_8,Apartment,3,2409.0,Semi-Furnished,21.0,33,No,Premium,West,Agent,Ready to Move,2014,1,0,6,3,458.01036263709176
Maharashtra,New Delhi,Locality_3,Builder Floor,4,1627.0,Fully Furnished,30.0,32,No,Luxury,West,Owner,Under Construction,2021,5,2,1,0,458.9640014077585
Haryana,Gurgaon,Locality_14,Independent House,1,4370.0,Semi-Furnished,13.0,36,No,Luxury,North,Builder,Ready to Move,2011,4,0,9,0,1010.1224905788852
Tamil Nadu,Mumbai,Locality_13,Apartment,3,2158.0,Fully Furnished,37.0,37,Yes,Luxury,East,Owner,Ready to Move,1997,7,4,6,3,628.3773198894926
Haryana,Mumbai,Locality_45,Independent House,4,3625.0,Unfurnished,3.0,31,Yes,Luxury,North,Agent,Under Construction,2007,0,0,6,2,1637.4979197744403
Telangana,New Delhi,Locality_32,Villa,1,2463.0,Fully Furnished,32.0,38,No,Luxury,East,Owner,Ready to Move,2017,9,0,9,0,671.146636370662
Tamil Nadu,New Delhi,Locality_34,Independent House,3,2789.0,Unfurnished,35.0,43,Yes,Basic,North,Builder,Ready to Move,2017,2,1,5,2,577.1751647016395
Tamil Nadu,Hyderabad,Locality_45,Independent House,2,1466.0,Unfurnished,19.0,33,Yes,Premium,North,Builder,Ready to Move,2000,6,4,6,1,258.7343791293042
Delhi,Hyderabad,Locality_19,Villa,2,,Unfurnished,14.0,49,Yes,Basic,North,Owner,Under Construction,2001,9,4,6,1,218.32780666022592
Tamil Nadu,Chennai,Locality_38,Builder Floor,2,3561.0,Semi-Furnished,22.0,23,Yes,Premium,North-East,Builder,Ready to Move,1991,3,1,7,3,666.7510880639273
Haryana,New Delhi,Locality_16,Apartment,4,,Unfurnished,17.0,41,No,Premium,North,Builder,Ready to Move,1993,9,3,9,2,1239.9813790471324
Tamil Nadu,Bangalore,Locality_2,Villa,2,3689.0,Fully Furnished,4.0,35,Yes,Premium,South,Owner,Under Construction,2023,4,2,5,3,707.1640740983888
Delhi,Gurgaon,Locality_40,Independent House,5,3248.0,Semi-Furnished,19.0,23,No,,South,Builder,Under Construction,2012,7,4,5,0,724.7055342936644
Delhi,New Delhi,Locality_17,Apartment,1,2166.0,Unfurnished,37.0,45,No,Luxury,South,Owner,Under Construction,2002,0,3,4,0,479.9609267651817
Telangana,Pune,Locality_34,Villa,4,3566.0,Semi-Furnished,2.0,22,Yes,Premium,West,Owner,Under Construction,1996,0,2,4,0,575.4558497001349
Haryana,Chennai,Locality_42,Apartment,2,1941.0,Semi-Furnished,15.0,39,No,Premium,North,Builder,Ready to Move,2021,6,4,8,2,246.19753500879682
Karnataka,Pune,Locality_16,Apartment,1,1567.0,Semi-Furnished,2.0,10,Yes,Luxury,South,Owner,Under Construction,2012,8,0,2,3,364.4287383471558
Karnataka,Mumbai,Locality_38,Villa,3,4723.0,Fully Furnished,11.0,14,No,Basic,West,Builder,Under Construction,1997,3,4,8,3,1293.9545872250728
Tamil Nadu,Hyderabad,Locality_2,Apartment,2,,Unfurnished,,24,No,Basic,South,Builder,Ready to Move,2023,7,2,2,0,482.1187354573676
Telangana,Gurgaon,Locality_2,Builder Floor,1,4753.0,Semi-Furnished,10.0,13,Yes,Basic,East,Builder,Under Construction,2018,9,3,1,3,855.3530350344606
Maharashtra,New Delhi,Locality_26,Villa,5,4356.0,Semi-Furnished,3.0,32,No,Basic,North-East,Agent,Under Construction,2012,6,0,9,1,1050.9634595680866
